Cva_ID;Cva_APG_Family;Cva_Genus;Cva_Species;Cva_Common_Name;Cva_Authority;Cva_Chromosome_Nr;Cva_PloidyLevel;Cva_Estimation_Method;Cva_Voucher;Cva_2C_PG;Cva_Original_Reference;Cva_Lifecycle;Cva_Angiosperm_Group;Cva_Paper;Cva_IS;Cva_Remarks;Cva_Order_Nr;Cva_CompanyCode;Cva_Cropcode;Cva_Date_Created;Cva_Date_ Modified;Cva_EmpName_Created;Cva_EmpName_Modified;Cva_ID_Genus;Cva_Cultivar;Cva_AnO;Cva_PlantCode;Cva_BreedingCode;Cva_Status;Cva_zzz
6358;Lentibulariaceae;Genlisea;margaretae;;Hutch.;0;0;CIA;Y;0.13;Greilhuber et al.; 2006 (Ref. 535);P;Eudicot;0;;2006;0;;;9-2-2013;2-1-2016;Import;Designer;1475;;;;;
6359;Lentibulariaceae;Genlisea;aurea;;A.St.-Hil.;0;0;CIA;Y;0.13;Greilhuber et al.; 2006 (Ref. 535);P;Eudicot;0;;2006;0;;;9-2-2013;2-1-2016;Import;Designer;1475;;;;;
6360;Lentibulariaceae;Utricularia;gibba;;L.;0;0;CIA;Y;0.18;Greilhuber et al.; 2006 (Ref. 535);P;Eudicot;0;;2006;0;;659;9-2-2013;2-1-2016;Import;Designer;1457;;;;;
6361;Rosaceae;Fragaria;viridis;;Duchesne;14;2;FC:PI;Y;0.2;Antonius and Ahokas; 1996 (Ref. 339);P;Eudicot;0;;1996;0;;62;9-2-2013;31-12-2015;Import;Designer;153;;;;;
6362;Lentibulariaceae;Utricularia;blanchetii;;A.DC.;0;0;CIA;Y;0.28;Greilhuber et al.; 2006 (Ref. 535);P;Eudicot;0;;2006;0;;659;9-2-2013;2-1-2016;Import;Designer;1457;;;;;
6363;Lentibulariaceae;Utricularia;parthenopipes;;P.Taylor;0;0;CIA;Y;0.29;Greilhuber et al.; 2006 (Ref. 535);P;Eudicot;0;;2006;0;;659;9-2-2013;2-1-2016;Import;Designer;1457;;;;;
6364;Crassulaceae;Sedum;album;;L.;34;2;;;0.29;Hart; 1991 (Ref. 398);P;Eudicot;0;;1991;0;;191;9-2-2013;31-12-2015;Import;Designer;335;;;;;
6365;Brassicaceae;Thlaspi;alpestre;;L.;14;2;Fe;;0.3;Band; 1984 (Ref. 154);P;Eudicot;0;;1984;0;;;9-2-2013;31-12-2015;Import;Designer;1363;;;;;
6366;Onagraceae;Epilobium;palustre;;L.;36;2;Fe;;0.3;Band; 1984 (Ref. 154);P;Eudicot;0;;1984;0;;;9-2-2013;2-1-2016;Import;Designer;1476;;;;;
6367;Cyperaceae;Carex;nubigera;;;112;2;Fe;Y;0.3;Nishikawa et al.; 1984 (Ref. 357);P;Monocot;0;;1984;0;;143;9-2-2013;31-12-2015;Import;Designer;78;;;;;
